meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
67.0,Shining Resonance Refrain,PS4,"Jul 10, 2018",7.2,/game/playstation-4/shining-resonance-refrain,T,['Sega'],"['Role-Playing', 'Action RPG']"
70.0,Shining Resonance Refrain,Switch,"Jul 10, 2018",7.9,/game/switch/shining-resonance-refrain,T,['Sega'],"['Role-Playing', 'Action RPG']"
74.0,Shining Resonance Refrain,XONE,"Jul 10, 2018",8.1,/game/xbox-one/shining-resonance-refrain,T,['Sega'],"['Role-Playing', 'Action RPG']"
68.0,Shining Resonance Refrain,PC,"Jul 9, 2018",7.7,/game/pc/shining-resonance-refrain,T,['Sega'],"['Role-Playing', 'Action RPG']"
75.0,Sega Genesis Classics,PS4,"May 29, 2018",7.4,/game/playstation-4/sega-genesis-classics,T,"['Various', ' D3T Limited']","['Miscellaneous', 'Compilation']"
73.0,Sega Genesis Classics,XONE,"May 29, 2018",7.9,/game/xbox-one/sega-genesis-classics,T,"['Various', ' D3T Limited']","['Miscellaneous', 'Compilation']"
83.0,Yakuza 6: The Song of Life,PS4,"Apr 17, 2018",8.4,/game/playstation-4/yakuza-6-the-song-of-life,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
77.0,Football Manager Touch 2018,Switch,"Apr 13, 2018",6.8,/game/switch/football-manager-touch-2018,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
78.0,Puyo Puyo Tetris,PC,"Feb 27, 2018",6.4,/game/pc/puyo-puyo-tetris,E10+,"['Sega', ' Sonic Team']","['Puzzle', 'Stacking']"
57.0,Sonic Forces,Switch,"Nov 7, 2017",6.6,/game/switch/sonic-forces,E10+,['Sonic Team'],"['Action', 'Action Adventure', 'General', 'Platformer', '3D']"
62.0,Sonic Forces,XONE,"Nov 7, 2017",6.9,/game/xbox-one/sonic-forces,E10+,"['SegaSoft', ' Sonic Team']","['Action', 'Action Adventure', 'General', 'Platformer', '3D']"
57.0,Sonic Forces,PS4,"Nov 7, 2017",6.3,/game/playstation-4/sonic-forces,E10+,"['SegaSoft', ' Sonic Team']","['Action', 'Action Adventure', 'General', 'Platformer', '3D']"
56.0,Sonic Forces,PC,"Nov 7, 2017",6.0,/game/pc/sonic-forces,E10+,['Sonic Team'],"['Action', 'Action Adventure', 'General', 'Platformer', '3D']"
87.0,Total War: WARHAMMER II,PC,"Sep 28, 2017",7.9,/game/pc/total-war-warhammer-ii,T,['Creative Assembly'],"['Strategy', 'Real-Time', 'Tactics']"
80.0,Yakuza Kiwami,PS4,"Aug 29, 2017",7.9,/game/playstation-4/yakuza-kiwami,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
86.0,Sonic Mania,PS4,"Aug 15, 2017",8.4,/game/playstation-4/sonic-mania,E,"['SegaSoft', ' Sega', ' PagodaWest Games']","['Action', 'Platformer', '2D']"
83.0,Sonic Mania,XONE,"Aug 15, 2017",8.3,/game/xbox-one/sonic-mania,E,"['SegaSoft', ' Sega', ' PagodaWest Games']","['Action', 'Platformer', '2D']"
84.0,Sonic Mania,PC,"Aug 15, 2017",8.5,/game/pc/sonic-mania,E,"['SegaSoft', ' Sega', ' PagodaWest Games']","['Action', 'Platformer', '2D']"
86.0,Sonic Mania,Switch,"Aug 15, 2017",8.6,/game/switch/sonic-mania,E,['Tantalus'],"['Action', 'Platformer', '2D']"
54.0,Valkyria Revolution,PS4,"Jun 27, 2017",5.7,/game/playstation-4/valkyria-revolution,T,['Media.Vision'],"['Role-Playing', 'Strategy', 'Turn-Based', 'Action RPG', 'Tactics']"
56.0,Valkyria Revolution,XONE,"Jun 27, 2017",4.9,/game/xbox-one/valkyria-revolution,T,"['SegaSoft', ' Sega']","['Role-Playing', 'Strategy', 'Turn-Based', 'Action RPG', 'Tactics']"
